gid,pin10,property_address,age,zoning,est_year_construction,blkgrp,pct_minority,median_age,pct_single_partent_families,pct_non_english_speakers,median_hh_income,gr_api,pct_college_edu,pct_unemployment,pct_hh_below_poverty,pct_hh_with_children,median_hh_value,smoc_api,pct_renter_du,pct_vacant_du,service_line_survey,estimated_land_value,estimated_building_value,estimated_property_value,estimated_property_to_land_value,service_line_survey_pb,resident_type,hyd_make,hyd_year_stamped,hyd_removed,hyd_dist_feet,hyd_id,g_label,prob_g_lsl,prob,why_lead,why_not_lead,sample_count_1
594643,2930122042,16963  BULGER AVE,10,R2,2009,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,17050,63620,80670,3.731378299,4,split-level,split-level,East Jordan,2011,0,164.8015611,02-077H,0.136416767,Assumed Non-Lead,NotAssumed,After1991,0,-1
594862,2930224046,1909 W 170TH ST,18,R2,2001,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,13750,74590,88340,5.424727273,4,split-level,split-level,Traverse City,1927,0,186.10686,02-043H,0.325791447,Assumed Non-Lead,NotAssumed,After1991,0,-1
593896,2930206007,16751  WOOD BLVD,13,R2,2006,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,26590,101540,128130,3.818728845,4,split-level,split-level,East Jordan,2007,0,120.6565888,02-023H,0.096712826,Assumed Non-Lead,NotAssumed,After1991,0,-1
595244,2930131048,17081  SHEA AVE,18,R3,2001,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,17730,67120,84850,3.785673999,4,split-level,split-level,Traverse City,1966,0,71.5070393,02-071H,0.229014019,Assumed Non-Lead,NotAssumed,After1991,0,-1
594009,2930201020,1822 W 169TH ST,10,R1,2009,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,20620,55040,75660,2.669253152,4,split-level,split-level,East Jordan,2007,0,89.66177913,02-032H,0.134139907,Assumed Non-Lead,NotAssumed,After1991,0,-1
594887,2930224047,1911 W 170TH ST,18,R2,2001,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,13750,74590,88340,5.424727273,4,split-level,split-level,Traverse City,1966,0,167.7161791,02-049H,0.251080755,Assumed Non-Lead,NotAssumed,After1991,0,-1
600599,2930113001,16801  TRAPET AVE,17,R2,2002,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,19110,92350,111460,4.832548404,4,split-level,split-level,East Jordan,2011,0,116.0284319,02-083H,0.134056258,Assumed Non-Lead,NotAssumed,After1991,0,-1
593589,2930207012,1716 W 168TH ST,7,R2,2012,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,10020,126530,136550,12.62774451,2,two-story,two-story,East Jordan,2007,0,99.94744149,02-014H,0.085718616,Assumed Non-Lead,NotAssumed,After1991,0,-1
595060,2930128033,17042  TRAPET AVE,13,R2,2006,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,8520,37860,46380,4.443661972,4,split-level,split-level,East Jordan,2011,0,120.1482928,02-088H,0.163501236,Assumed Non-Lead,NotAssumed,After1991,0,-1
601837,2930128026,17087  HEAD AVE,13,R2,2006,1.70318E+11,80.06430868,72,57.91366906,0,44107,0,20.07623888,11.96013289,20.96774194,43.88489209,0,22.9,39.64646465,19.18367347,8520,64180,72700,7.53286385,1,one-story,one-story,East Jordan,2011,0,70.80906241,02-098H,0.168337865,Assumed Non-Lead,NotAssumed,After1991,0,-1
595212,2930131049,17077  SHEA AVE,18,R2,2001,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,16360,67120,83480,4.102689487,4,split-level,split-level,Traverse City,1966,0,107.9838973,02-071H,0.239208165,Assumed Non-Lead,NotAssumed,After1991,0,-1
594798,2930224045,1907 W 170TH ST,18,B1,2001,1.70318E+11,93.56617647,58,65.33742331,0,35789,0,12.05915813,18.6013986,7.720588235,45.39877301,0,28.6,50.76628352,25.74679943,15670,71210,86880,4.544352265,4,split-level,split-level,Traverse City,1927,0,146.030651,02-043H,0.312204811,Assumed Non-Lead,NotAssumed,After1991,0,-1
920084,3102103016,3800  STREAMWOOD DR,20,R0,1999,1.70318E+11,91.78789301,160,18.27160494,0,100943,38,47.32510288,31.23209169,1.783200375,52.34567901,0,18.3,19.46778711,16.58878505,92200,144400,236600,1.566160521,2,two-story,two-story,East Jordan,1994,0,176.03468,15-053H,0.002879015,Assumed Non-Lead,NotAssumed,After1991,0,-1
714209,2836116006,17605 S ARLINGTON LN,21,R1,1998,1.70318E+11,100,348,50.71428571,0,83795,14,60.42428676,15.94405594,19.1137213,38.80952381,0,22,13.1934033,0,28180,107070,135250,3.799503194,2,two-story,two-story,East Jordan,1992,0,92.26621935,11-008AH,0.01878985,Assumed Non-Lead,NotAssumed,After1991,0,-1
1029784,3102104016,3810  EDGEWATER DR,21,R0,1998,1.70318E+11,91.78789301,160,18.27160494,0,100943,38,47.32510288,31.23209169,1.783200375,52.34567901,0,18.3,19.46778711,16.58878505,61940,137350,199290,2.217468518,2,two-story,two-story,East Jordan,1993,0,145.2462428,15-103H,0.004659749,Assumed Non-Lead,NotAssumed,After1991,0,-1
1031655,3102105027,3804  RIVER RD,18,R0,2001,1.70318E+11,91.78789301,160,18.27160494,0,100943,38,47.32510288,31.23209169,1.783200375,52.34567901,0,18.3,19.46778711,16.58878505,69640,145780,215420,2.093337163,2,two-story,two-story,East Jordan,1994,0,155.2752546,15-090H,0.003422843,Assumed Non-Lead,NotAssumed,After1991,0,-1
1031450,3102108033,18506  INDIE CT,16,R0,2003,1.70318E+11,91.78789301,160,18.27160494,0,100943,38,47.32510288,31.23209169,1.783200375,52.34567901,0,18.3,19.46778711,16.58878505,65970,167800,233770,2.543580415,2,two-story,two-story,East Jordan,1997,0,63.58804693,15-093H,0.002442412,Assumed Non-Lead,NotAssumed,After1991,0,-1
1032143,3102105007,3710  RIVER RD,18,R0,2001,1.70318E+11,91.78789301,160,18.27160494,0,100943,38,47.32510288,31.23209169,1.783200375,52.34567901,0,18.3,19.46778711,16.58878505,79560,156290,235850,1.964429361,2,two-story,two-story,East Jordan,1994,0,130.7024917,15-092H,0.002671161,Assumed Non-Lead,NotAssumed,After1991,0,-1
1037315,3102206017,18608  AUGUSTA LN,16,R1,2003,1.70318E+11,91.78789301,160,18.27160494,0,100943,38,47.32510288,31.23209169,1.783200375,52.34567901,0,18.3,19.46778711,16.58878505,46010,130630,176640,2.839165399,2,two-story,two-story,East Jordan,1996,0,112.1219236,15-006BH,0.004849588,Assumed Non-Lead,NotAssumed,After1991,0,-1
708426,2836116009,17612  BALMORAL LN,19,R1,2000,1.70318E+11,100,348,50.71428571,0,83795,14,60.42428676,15.94405594,19.1137213,38.80952381,0,22,13.1934033,0,28140,120780,148920,4.292110874,2,two-story,two-story,East Jordan,1993,0,196.2289189,11-011AH,0.016260018,Assumed Non-Lead,NotAssumed,After1991,0,-1
