,pin10,est_year_construction,pct_minority,pct_single_partent_families,pct_non_english_speakers,median_hh_income,pct_hh_below_poverty,pct_hh_with_children,resident_type,hyd_year_stamped,g_label,prob_g_lsl,unnamed:_0,property_class,neighborhood_code,town_code,type_of_residence,building_square_feet,prior_tax_year_market_value_estimate_(land),prior_tax_year_market_value_estimate_(building),longitude,latitude,census_tract,property_address,age,neighborhood_code.1
84,3102111001,2003,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1998,0.001882045,Assumed Non-Lead,7250,278,250,32,2.0,3786.0,84660.0,171330.0,-87.7091676226499,41.5563272427412,829902.0,18304  CARRINGTON DR,19,250
85,3102108008,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.004661553,Assumed Non-Lead,7160,278,250,32,2.0,2393.0,62730.0,124430.0,-87.7074369544148,41.5532233942077,829902.0,3711  STREAMWOOD DR,22,250
86,2836116003,1997,100.0,50.71428571,0,83795,19.1137213,38.80952381,split-level,1990,0.022657018,Assumed Non-Lead,4455,234,270,13,4.0,1753.0,35430.0,115930.0,-87.6926639014327,41.5694411597623,825503.0,17600  BALMORAL LN,25,270
87,3102108003,1999,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1981,0.006466718,Assumed Non-Lead,7155,278,250,32,2.0,2542.0,56250.0,122270.0,-87.7079114338814,41.5524301801939,829902.0,3711 S VILLAGE DR,23,250
88,3102206007,2006,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1972,0.005993537,Assumed Non-Lead,7845,278,250,32,2.0,2116.0,33050.0,139020.0,-87.7008711058444,41.552103826388,829902.0,18611  AUGUSTA LN,16,250
89,3102109009,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.004140312,Assumed Non-Lead,7194,278,250,32,2.0,3093.0,63470.0,138570.0,-87.707757482693,41.5542588791536,829902.0,3707  EDGEWATER DR,22,250
90,3102110065,2006,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,2001,0.002547636,Assumed Non-Lead,7239,278,250,32,2.0,2341.0,71590.0,143570.0,-87.7106752917129,41.5565307738874,829902.0,8  CARRINGTON CT,16,250
91,3102110063,2006,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,2001,0.001783792,Assumed Non-Lead,7237,278,250,32,2.0,3767.0,77570.0,169140.0,-87.7112554257687,41.5568466743105,829902.0,12  CARRINGTON CT,16,250
92,3102109008,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1993,0.004006482,Assumed Non-Lead,7193,278,250,32,2.0,3571.0,63750.0,142840.0,-87.7079981588996,41.5541125225278,829902.0,3709  EDGEWATER DR,22,250
93,2835204036,2000,97.43842365,27.52941176,0,52417,0.0,45.88235294,split-level,1996,0.063041312,Assumed Non-Lead,3356,234,270,13,4.0,1480.0,26460.0,131250.0,-87.703669944156,41.568437493882,825504.0,17619  CENTRAL PARK AVE,22,270
94,3102109005,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1993,0.002180474,Assumed Non-Lead,7190,278,250,32,2.0,3093.0,67500.0,198080.0,-87.7087238601526,41.5536652705961,829902.0,3801  EDGEWATER DR,22,250
95,3102104025,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.003737282,Assumed Non-Lead,7049,278,250,32,2.0,3379.0,62940.0,149520.0,-87.7067898343294,41.5550471379285,829902.0,3604  EDGEWATER DR,22,250
96,2836111029,1998,100.0,50.71428571,0,83795,19.1137213,38.80952381,two-story,1993,0.01780174,Assumed Non-Lead,4402,278,270,13,2.0,2064.0,26880.0,114960.0,-87.6927888458084,41.567643417945,825503.0,3105  SURREY LN,24,270
97,3102108015,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.003636984,Assumed Non-Lead,7167,278,250,32,2.0,2625.0,61490.0,153900.0,-87.7060656907635,41.5543354629315,829902.0,18412  RIVER RD,22,250
98,3102108030,2003,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1997,0.003215834,Assumed Non-Lead,7182,278,250,32,2.0,2393.0,66210.0,145960.0,-87.7070751639711,41.5529893358787,829902.0,18501  INDIE CT,19,250
99,3102108001,1998,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1997,0.004825048,Assumed Non-Lead,7153,278,250,32,2.0,2637.0,67080.0,122430.0,-87.7075389204535,41.5520854389388,829902.0,3707 S VILLAGE DR,24,250
100,3102108032,2003,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1997,0.002396961,Assumed Non-Lead,7184,278,250,32,2.0,3617.0,69500.0,166390.0,-87.7073873615964,41.5525184003283,829902.0,18504  INDIE CT,19,250
101,3102110033,2001,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1996,0.010944386,Assumed Non-Lead,7209,295,250,32,2.0,1850.0,14000.0,137860.0,-87.7120401574105,41.5547322382121,829902.0,18417  CARRINGTON CT,21,250
102,3102106011,2003,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.004894167,Assumed Non-Lead,7121,278,250,32,2.0,2393.0,54370.0,121330.0,-87.7117272821982,41.5499733477217,829902.0,3903  RIVER RD,19,250
103,2836318002,1995,100.0,50.71428571,0,83795,19.1137213,38.80952381,two-story,1971,0.023915413,Assumed Non-Lead,5137,207,270,13,2.0,1943.0,26400.0,116890.0,-87.6924051899516,41.5637360744005,825503.0,3108  SMOKE TREE CT,27,270
104,2836115011,2001,100.0,50.71428571,0,83795,19.1137213,38.80952381,split-level,1995,0.020237662,Assumed Non-Lead,4448,234,270,13,4.0,1485.0,32970.0,113630.0,-87.6938979837732,41.5681622366929,825503.0,17616 S ARLINGTON LN,21,270
105,2836115010,2001,100.0,50.71428571,0,83795,19.1137213,38.80952381,one-story,1996,0.029399073,Assumed Non-Lead,4447,203,270,13,1.0,1232.0,25620.0,102240.0,-87.6939407264152,41.5679856852214,825503.0,17700 S ARLINGTON LN,21,270
106,2836300014,2003,100.0,50.71428571,0,83795,19.1137213,38.80952381,split-level,1971,0.026288257,Assumed Non-Lead,4827,234,270,13,4.0,1114.0,38430.0,92460.0,-87.6938240913501,41.5633979487677,825503.0,17929 S KEDZIE AVE,19,270
107,3102108023,2003,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1997,0.000997991,Assumed Non-Lead,7175,208,250,32,2.0,3984.0,87640.0,229570.0,-87.7064131038914,41.5532725185484,829902.0,18502  ALEXIS CT,19,250
108,3102108016,2003,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.002212646,Assumed Non-Lead,7168,278,250,32,2.0,3578.0,55540.0,197200.0,-87.705838763664,41.5541863467516,829902.0,18414  RIVER RD,19,250
109,3102104002,1998,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,one-story,1993,0.008690923,Assumed Non-Lead,7027,204,250,32,1.0,2375.0,60010.0,126780.0,-87.7106466416392,41.553076579707,829902.0,3814  EDGEWATER DR,24,250
110,2835203031,1999,97.43842365,27.52941176,0,52417,0.0,45.88235294,one-story,1989,0.10162827,Assumed Non-Lead,3343,203,270,13,1.0,1446.0,28660.0,102510.0,-87.7037013526959,41.5707967807327,825504.0,17511  CENTRAL PARK AVE,23,270
111,3102109007,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1993,0.003870679,Assumed Non-Lead,7192,278,250,32,2.0,3093.0,63750.0,142810.0,-87.7082375864255,41.5539640765959,829902.0,3711  EDGEWATER DR,22,250
112,3102104026,2000,91.78789301,18.27160494,0,100943,1.783200375,52.34567901,two-story,1994,0.002860409,Assumed Non-Lead,7050,278,250,32,2.0,3568.0,66410.0,173500.0,-87.7071090487273,41.5550504771497,829902.0,3606  EDGEWATER DR,22,250
113,2836111018,1998,100.0,50.71428571,0,83795,19.1137213,38.80952381,two-story,1990,0.014028365,Assumed Non-Lead,4391,278,270,13,2.0,2563.0,29040.0,143620.0,-87.6907616005876,41.5687019687655,825503.0,17609  SURREY LN,24,270
114,2825321004,1998,98.17184644,49.22600619,0,49239,17.18464351,42.10526316,split-level,1927,0.186815648,Assumed Non-Lead,671,234,260,13,4.0,1430.0,20000.0,106520.0,-87.689833113569,41.573655499959,825503.0,17405  EMERSON AVE,24,260
